cnpj,nome,situação,link
41.661.118/0001-48,NO PONTO BAR E DISTRIBUIDORA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/41.661.118/0001-48,Ativa
43.877.432/0001-98,BOX SETE AUTOMOVEIS E SERVICOS LTDA,Ativa,http://cnpj.biz/43.877.432/0001-98,Ativa
43.542.757/0001-10,JCSS COMERCIO E SERVICO LTDA,Ativa,http://cnpj.biz/43.542.757/0001-10,Ativa
41.936.216/0001-40,GUILHERME BINDEMANN COMERCIAL LTDA,Ativa,http://cnpj.biz/41.936.216/0001-40,Ativa
41.039.184/0001-80,AG MOTORS VEICULOS LTDA,Ativa,http://cnpj.biz/41.039.184/0001-80,Ativa
43.912.398/0001-45,EDERSON MATOS TUBOS DE PAPEL LTDA,Ativa,http://cnpj.biz/43.912.398/0001-45,Ativa
43.014.816/0001-87,P H PETZA CALHAS,Ativa,http://cnpj.biz/43.014.816/0001-87,Ativa
42.780.522/0001-01,PROKAP CAPACHOS PERSONALIZADOS LTDA,Ativa,http://cnpj.biz/42.780.522/0001-01,--,
83.674.747/0002-33,DISTRIBUIDORA CATARINENSE DE ALIMENTOS LTDA,Ativa,http://cnpj.biz/83.674.747/0002-33,--,
41.398.034/0001-63,FRANCO COMERCIO DE PRODUTOS MEDICOS LTDA,Ativa,http://cnpj.biz/41.398.034/0001-63,--,
41.551.880/0001-71,RW MOTOS COMERCIO DE VEICULOS AUTOMOTIVOS LTDA.,Ativa,http://cnpj.biz/41.551.880/0001-71,---,
43.607.336/0001-20,JEAN CARLOS MARQUES CELULARES,Ativa,http://cnpj.biz/43.607.336/0001-20,Ativa
43.995.041/0001-78,DEXMONTE COMERCIO DE PECAS AUTOMOTIVAS LTDA,Ativa,http://cnpj.biz/43.995.041/0001-78,Ativa
43.740.197/0001-08,M H WEBER LTDA,Ativa,http://cnpj.biz/43.740.197/0001-08,Ativa
42.159.185/0001-21,KAIO HENRIQUE DOS SANTOS - SUPERMERCADO LTDA,Ativa,http://cnpj.biz/42.159.185/0001-21,Ativa
44.630.954/0001-53,K H M DA SILVA LTDA,Ativa,http://cnpj.biz/44.630.954/0001-53,Ativa
13.481.036/0002-67,D R M IVANSKI,Ativa,http://cnpj.biz/13.481.036/0002-67,Ativa
35.761.748/0003-53,VERARDO E ARENHART LOJA DE VARIEDADES LTDA,Ativa,http://cnpj.biz/35.761.748/0003-53,Ativa
41.150.031/0001-06,ANDRE MARCELO GOMES FORTES,Ativa,http://cnpj.biz/41.150.031/0001-06,Ativa
42.115.046/0001-04,MINITEX ECO ELETRONICOS COMERCIAL LTDA,Ativa,http://cnpj.biz/42.115.046/0001-04,Ativa
44.362.542/0001-80,SHOP-CWB ELETROELETRONICOS LTDA,Ativa,http://cnpj.biz/44.362.542/0001-80,Ativa
42.026.686/0001-30,EDVALDO CARNIELLI,Ativa,http://cnpj.biz/42.026.686/0001-30,Ativa
42.608.971/0001-69,MAGGI UNIFORMES LTDA,Ativa,http://cnpj.biz/42.608.971/0001-69,Ativa
43.328.576/0001-95,ALDS COMERCIO VAREJISTA ARTIGOS DO VESTUARIO LTDA,Ativa,http://cnpj.biz/43.328.576/0001-95,Ativa
42.897.339/0001-82,V8 COMERCIO DE BEBIDAS LTDA,Ativa,http://cnpj.biz/42.897.339/0001-82,Ativa
43.697.968/0001-21,BOLSA BEBE COMERCIO DE PRODUTOS INFANTIS LTDA,Ativa,http://cnpj.biz/43.697.968/0001-21,Ativa
43.673.422/0001-30,KME MOTORS COMERCIO DE VEICULOS LTDA,Ativa,http://cnpj.biz/43.673.422/0001-30,Ativa
42.597.991/0001-81,EMPORIO DAI LTDA,Ativa,http://cnpj.biz/42.597.991/0001-81,Ativa
42.254.307/0001-69,COMERCIO DE BEBIDAS SAIDEIRA LTDA,Ativa,http://cnpj.biz/42.254.307/0001-69,Ativa
42.468.273/0001-05,ROSA CALI SEMIJOIAS LTDA,Ativa,http://cnpj.biz/42.468.273/0001-05,Ativa
43.255.889/0001-60,IPIRANGA DISTRIBUIDORA LTDA,Ativa,http://cnpj.biz/43.255.889/0001-60,Ativa
42.003.424/0001-50,NEGOSEKI COMERCIO VAREJISTA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/42.003.424/0001-50,Ativa
42.154.212/0001-73,ELEVEN ONE COMERCIO LTDA,Ativa,http://cnpj.biz/42.154.212/0001-73,Ativa
43.946.104/0001-04,PAPUM DISTRIBUIDORA DE BEBIDAS LTDA,Ativa,http://cnpj.biz/43.946.104/0001-04,Ativa
44.324.001/0001-67,D C DE LIMA JUNIOR LAVI DESIGN & COMERCIO LTDA,Ativa,http://cnpj.biz/44.324.001/0001-67,Ativa
43.116.894/0001-92,VELVET COMERCIAL LTDA,Ativa,http://cnpj.biz/43.116.894/0001-92,Ativa
43.092.654/0001-03,ISAGLASS COMERCIO DE VIDROS LTDA,Ativa,http://cnpj.biz/43.092.654/0001-03,celulae preto ,
43.669.777/0001-56,GIGA TECNOLOGIA LTDA,Ativa,http://cnpj.biz/43.669.777/0001-56,Ativa
41.682.829/0001-07,SELECT MARKET LTDA,Ativa,http://cnpj.biz/41.682.829/0001-07,Ativa
41.412.831/0001-58,ATTOS CAR MULTIMARCAS ADS LTDA,Ativa,http://cnpj.biz/41.412.831/0001-58,Ativa
41.649.843/0001-09,T4 ACESSORIOS E ARTIGOS PARA ESPORTE LTDA,Ativa,http://cnpj.biz/41.649.843/0001-09,Ativa
41.278.428/0001-88,PLC COMERCIO DE VESTUARIOS LTDA,Ativa,http://cnpj.biz/41.278.428/0001-88,Ativa
44.572.627/0001-92,LIVECWBBARIGUI ROUPAS ESPORTIVAS LTDA,Ativa,Ativa
